"FA番号","都道府県名","CATFlag","ILLflag","CopyService","LoanService","FAXservice","ILLStatus","館名","住所"
"FA002291","20","A","A","A","A","N","A","信州大学 附属図書館 教育学部図書館","長野市西長野6の口"
"FA002305","20","A","A","A","A","A","A","信州大学 附属図書館 医学部図書館","松本市旭3-1-1"
"FA002316","20","A","A","A","A","N","A","信州大学 附属図書館 工学部図書館","長野市若里4-17-1"
"FA002327","20","A","A","A","A","A","A","信州大学 附属図書館 農学部図書館","長野県上伊那郡南箕輪村8304"
"FA002338","20","A","A","A","A","A","A","信州大学 附属図書館 繊維学部図書館","上田市常田3-15-1"
"FA002349","21","A","A","A","A","A","A","岐阜大学 図書館","岐阜県岐阜市柳戸1-1"
"FA002360","21","A","A","A","A","A","A","岐阜大学 医学図書館","岐阜県岐阜市柳戸1-1"
"FA002371","22","A","A","A","A","C","N","静岡大学 附属図書館","静岡市駿河区大谷836"
"FA002382","22","A","A","A","A","C","N","静岡大学 附属図書館 浜松分館","静岡県浜松市中区城北3-5-1"
"FA002393","22","A","A","A","A","N","A","浜松医科大学 附属図書館","静岡県浜松市東区半田山一丁目20番1号"
"FA002407","23","A","A","A","A","A","N","名古屋大学 附属図書館","名古屋市千種区不老町B3-2(790)"
"FA002418","23","A","A","N","N","N","N","名古屋大学 附属図書館 医学部分館","名古屋市昭和区鶴舞町65"
"FA002429","23","A","A","A","A","A","A","名古屋大学 情報・言語合同図書室","名古屋市千種区不老町 (名古屋大学 情報学部・情報学研究科 庶務係気付)"
"FA002440","23","A","A","N","A","N","A","名古屋大学 文学 図書室","名古屋市千種区不老町"
"FA002451","23","A","A","A","A","N","A","名古屋大学 教育発達科学 図書室","名古屋市千種区不老町"
"FA002462","23","A","A","A","A","A","N","名古屋大学 法学 図書室","名古屋市千種区不老町"
"FA002473","23","A","A","A","A","A","N","名古屋大学 経済学 図書室","愛知県名古屋市千種区不老町"
"FA002484","23","A","A","A","A","A","N","名古屋大学 理学 図書室","名古屋市千種区不老町D3-2(500)"
"FA002495","23","A","A","A","A","A","N","名古屋大学 工学 図書室","名古屋市千種区不老町 C2-4(600)"
"FA002509","23","A","A","A","A","A","A","名古屋大学 生命農学 図書室","名古屋市千種区不老町E2-1(300)"
"FA002531","23","A","A","N","N","N","N","愛知教育大学 附属図書館","刈谷市井ケ谷町広沢1"
"FA002542","23","A","A","A","A","N","A","名古屋工業大学 図書館","名古屋市昭和区御器所町"
"FA002553","23","A","A","A","N","N","A","豊橋技術科学大学 附属図書館","愛知県豊橋市天伯町雲雀ケ丘1-1"
"FA002564","24","A","A","A","A","A","A","三重大学 附属図書館","三重県津市栗真町屋町 1577"
"FA002575","24","A","A","A","N","A","A","三重大学 医学部図書館","三重県津市江戸橋2-174"
"FA002586","25","A","A","A","A","N","N","滋賀大学 附属図書館 教育学部分館","滋賀県大津市平津2-5-1"
"FA002597","25","A","A","N","N","N","N","滋賀大学 附属図書館","滋賀県彦根市馬場一丁目1番1号"
"FA002600","25","A","A","A","A","A","A","滋賀医科大学 附属図書館","滋賀県大津市瀬田月輪町"
"FA002611","26","A","A","A","A","A","N","京都大学 附属図書館","京都市左京区吉田本町"
"FA002622","26","A","A","A","A","A","N","京都大学 吉田南総合図書館","京都市左京区吉田二本松町"
"FA002633","26","A","A","A","A","N","A","京都大学 文学研究科 図書館","京都市左京区吉田本町"
"FA002644","26","A","A","A","A","N","N","京都大学 教育学部 図書室","京都府京都市左京区吉田本町"
"FA002655","26","A","A","N","N","N","A","京都大学 法学部 図書室","京都府京都市左京区吉田本町"
"FA002666","26","A","A","N","N","N","A","京都大学 経済学部 図書室","京都府京都市左京区吉田本町"
"FA002677","26","A","A","A","A","N","A","京都大学 理学部","京都市左京区北白川追分町理学部6号館南棟1F-104"
"FA002688","26","A","A","A","A","A","N","京都大学 医学図書館","京都市左京区吉田近衛町"
"FA002699","26","A","A","A","N","A","A","京都大学 大学院薬学研究科・薬学部 図書室","京都市左京区吉田下阿達町46"
"FA002702","26","A","A","A","A","A","A","京都大学 工学部","京都府京都市西京区京都大学桂"
"FA002713","26","A","A","N","N","N","A","京都大学 附属図書館 宇治分館","京都府宇治市五ケ庄"
"FA002724","26","A","A","A","A","N","N","京都大学 農学部 図書室","京都市左京区北白川追分町"
"FA002735","26","A","A","N","N","N","A","京都大学 人文科学研究所 図書室","京都市左京区吉田本町(本館)"
"FA002746","26","A","A","A","A","N","A","京都大学 経済研究所 図書室","京都府京都市左京区吉田本町"
"FA002757","26","A","A","A","A","A","A","京都大学 基礎物理学研究所 図書室","京都府京都市左京区北白川追分町"
"FA002768","26","A","A","A","A","N","A","京都大学 数理解析研究所 図書室","京都市左京区北白川追分町"
"FA002779","27","A","A","A","A","N","N","京都大学 複合原子力科学研究所 図書室","大阪府泉南郡熊取町朝代西2丁目1010"
"FA002790","23","A","A","A","A","N","N","京都大学 霊長類研究所 図書室","愛知県犬山市官林41-2"
"FA002804","26","A","A","N","N","N","N","京都大学 東南アジア地域研究研究所 図書室","京都府京都市左京区吉田下阿達町46"
"FA002826","26","A","A","A","A","N","A","京都教育大学 附属図書館","京都市伏見区深草藤森町1"
"FA002837","26","A","A","A","A","A","N","京都工芸繊維大学 附属図書館","京都市左京区松ケ崎橋上町1番地"
"FA002848","27","A","A","A","A","N","N","大阪大学 附属図書館 総合図書館","豊中市待兼山町1ー4"
"FA002859","27","A","A","N","N","N","A","大阪大学 附属図書館 生命科学図書館","吹田市山田丘2-3"
"FA002870","27","A","A","A","A","N","N","大阪大学 附属図書館 理工学図書館","吹田市山田丘2-1"
"FA002928","27","A","A","A","A","N","N","大阪大学 附属図書館 外国学図書館","大阪府箕面市粟生間谷東8-1-1"
"FA002939","27","A","A","A","A","A","N","大阪教育大学 附属図書館","大阪府柏原市旭ケ丘4-698-1"
"FA002972","28","A","A","N","N","N","N","兵庫教育大学 附属図書館","兵庫県加東市下久米942-1"
"FA002983","28","A","A","A","A","A","N","神戸大学 附属図書館 保健科学図書室","神戸市須磨区友が丘7丁目10番2"
"FA002994","28","A","A","N","N","N","A","神戸大学 附属図書館 社会科学系図書館","神戸市灘区六甲台町2-1"
"FA003002","28","A","A","N","N","N","A","神戸大学 附属図書館 総合図書館 国際文化学図書館","神戸市灘区鶴甲1-2-1"
